,RSSI,SNR,Freq,Prx,PL,Location,lat,long,Nb_floor,wall,Dist
70,-87,9.5,868300000,-87,107,loc_5,33.8656454,35.5634523,3,2,28.4163865
71,-81,10.8,868100000,-81,101,loc_5,33.8656454,35.5634523,3,2,28.4163865
72,-85,10.8,868300000,-85,105,loc_5,33.8656454,35.5634523,3,2,28.4163865
73,-82,10.8,868300000,-82,102,loc_5,33.8656454,35.5634523,3,2,28.4163865
74,-89,8.5,868500000,-89,109,loc_5,33.8656454,35.5634523,3,2,28.4163865
75,-85,11,868300000,-85,105,loc_5,33.8656454,35.5634523,3,2,28.4163865
76,-89,10.2,868100000,-89,109,loc_5,33.8656454,35.5634523,3,2,28.4163865
77,-85,9.8,868100000,-85,105,loc_5,33.8656454,35.5634523,3,2,28.4163865
78,-102,7.8,868500000,-102,122,loc_6,33.8655627,35.56294,3,1,76.19725423
79,-105,7.8,868100000,-105,125,loc_6,33.8655627,35.56294,3,1,76.19725423
80,-108,7.8,868100000,-108,128,loc_6,33.8655627,35.56294,3,1,76.19725423
81,-102,5.8,868500000,-102,122,loc_6,33.8655627,35.56294,3,1,76.19725423
82,-105,8.8,868300000,-105,125,loc_6,33.8655627,35.56294,3,1,76.19725423
83,-102,7,868100000,-102,122,loc_6,33.8655627,35.56294,3,1,76.19725423
84,-99,6.8,868500000,-99,119,loc_6,33.8655627,35.56294,3,1,76.19725423
85,-100,6.8,868500000,-100,120,loc_6,33.8655627,35.56294,3,1,76.19725423
86,-100,5.2,868300000,-100,120,loc_6,33.8655627,35.56294,3,1,76.19725423
87,-100,9.2,868100000,-100,120,loc_6,33.8655627,35.56294,3,1,76.19725423
88,-107,8.8,868100000,-107,127,loc_6,33.8655627,35.56294,3,1,76.19725423
89,-101,8.5,868100000,-101,121,loc_6,33.8655627,35.56294,3,1,76.19725423
90,-105,7,868300000,-105,125,loc_6,33.8655627,35.56294,3,1,76.19725423
91,-99,7.5,868300000,-99,119,loc_6,33.8655627,35.56294,3,1,76.19725423
92,-103,6,868500000,-103,123,loc_6,33.8655627,35.56294,3,1,76.19725423
93,-102,7,868500000,-102,122,loc_6,33.8655627,35.56294,3,1,76.19725423
94,-115,1.8,868300000,-115,135,loc_6,33.8655627,35.56294,3,1,76.19725423
95,-106,6.5,868100000,-106,126,loc_6,33.8655627,35.56294,3,1,76.19725423
96,-98,6.5,868500000,-98,118,loc_6,33.8655627,35.56294,3,1,76.19725423
97,-99,6,868100000,-99,119,loc_6,33.8655627,35.56294,3,1,76.19725423
98,-87,10.5,868100000,-87,107,loc_7,33.8656238,35.563246,4,1,47.49196929
99,-85,9.8,868300000,-85,105,loc_7,33.8656238,35.563246,4,1,47.49196929
100,-90,10.5,868100000,-90,110,loc_7,33.8656238,35.563246,4,1,47.49196929
101,-85,9.8,868100000,-85,105,loc_7,33.8656238,35.563246,4,1,47.49196929
102,-89,11.2,868300000,-89,109,loc_7,33.8656238,35.563246,4,1,47.49196929
103,-87,9.8,868100000,-87,107,loc_7,33.8656238,35.563246,4,1,47.49196929
104,-87,9.5,868100000,-87,107,loc_7,33.8656238,35.563246,4,1,47.49196929
105,-85,9.8,868300000,-85,105,loc_7,33.8656238,35.563246,4,1,47.49196929
106,-86,9.8,868300000,-86,106,loc_7,33.8656238,35.563246,4,1,47.49196929
107,-86,10.2,868100000,-86,106,loc_7,33.8656238,35.563246,4,1,47.49196929
108,-86,8.8,868500000,-86,106,loc_7,33.8656238,35.563246,4,1,47.49196929
109,-84,9,868300000,-84,104,loc_7,33.8656238,35.563246,4,1,47.49196929
110,-84,6.5,868500000,-84,104,loc_7,33.8656238,35.563246,4,1,47.49196929
111,-86,9.5,868100000,-86,106,loc_7,33.8656238,35.563246,4,1,47.49196929
112,-89,10,868300000,-89,109,loc_7,33.8656238,35.563246,4,1,47.49196929
113,-85,11,868300000,-85,105,loc_7,33.8656238,35.563246,4,1,47.49196929
114,-86,9,868500000,-86,106,loc_7,33.8656238,35.563246,4,1,47.49196929
115,-89,9.8,868100000,-89,109,loc_7,33.8656238,35.563246,4,1,47.49196929
116,-87,10.8,868300000,-87,107,loc_7,33.8656238,35.563246,4,1,47.49196929
117,-87,9.5,868100000,-87,107,loc_7,33.8656238,35.563246,4,1,47.49196929
118,-70,11,868300000,-70,90,loc_8,33.8655857,35.5633791,2,0,35.68317359
119,-94,10.2,868300000,-94,114,loc_8,33.8655857,35.5633791,2,0,35.68317359
120,-81,10.5,868100000,-81,101,loc_8,33.8655857,35.5633791,2,0,35.68317359
121,-85,10.8,868100000,-85,105,loc_8,33.8655857,35.5633791,2,0,35.68317359
122,-79,9.5,868100000,-79,99,loc_8,33.8655857,35.5633791,2,0,35.68317359
123,-84,10.5,868100000,-84,104,loc_8,33.8655857,35.5633791,2,0,35.68317359
124,-71,9.8,868300000,-71,91,loc_8,33.8655857,35.5633791,2,0,35.68317359
125,-75,8,868500000,-75,95,loc_8,33.8655857,35.5633791,2,0,35.68317359
126,-71,8,868300000,-71,91,loc_8,33.8655857,35.5633791,2,0,35.68317359
127,-73,9.2,868300000,-73,93,loc_8,33.8655857,35.5633791,2,0,35.68317359
128,-72,8.8,868300000,-72,92,loc_8,33.8655857,35.5633791,2,0,35.68317359
129,-77,7.5,868500000,-77,97,loc_8,33.8655857,35.5633791,2,0,35.68317359
130,-72,10,868300000,-72,92,loc_8,33.8655857,35.5633791,2,0,35.68317359
131,-72,7.2,868500000,-72,92,loc_8,33.8655857,35.5633791,2,0,35.68317359
132,-73,9.5,868100000,-73,93,loc_8,33.8655857,35.5633791,2,0,35.68317359
133,-79,10.2,868300000,-79,99,loc_8,33.8655857,35.5633791,2,0,35.68317359
134,-77,9,868100000,-77,97,loc_8,33.8655857,35.5633791,2,0,35.68317359
135,-75,8.2,868100000,-75,95,loc_8,33.8655857,35.5633791,2,0,35.68317359
136,-73,9,868300000,-73,93,loc_9,33.8655922,35.563529,2,0,21.98061378
137,-61,8.8,868300000,-61,81,loc_9,33.8655922,35.563529,2,0,21.98061378
138,-66,9.5,868300000,-66,86,loc_9,33.8655922,35.563529,2,0,21.98061378
139,-68,10,868100000,-68,88,loc_9,33.8655922,35.563529,2,0,21.98061378
140,-62,9.2,868300000,-62,82,loc_9,33.8655922,35.563529,2,0,21.98061378
141,-65,8.8,868100000,-65,85,loc_9,33.8655922,35.563529,2,0,21.98061378
142,-64,10.8,868300000,-64,84,loc_9,33.8655922,35.563529,2,0,21.98061378
143,-62,11.5,868300000,-62,82,loc_9,33.8655922,35.563529,2,0,21.98061378
144,-66,11.5,868300000,-66,86,loc_9,33.8655922,35.563529,2,0,21.98061378
145,-62,7,868500000,-62,82,loc_9,33.8655922,35.563529,2,0,21.98061378
146,-75,9.8,868100000,-75,95,loc_9,33.8655922,35.563529,2,0,21.98061378
147,-68,8,868500000,-68,88,loc_9,33.8655922,35.563529,2,0,21.98061378
