,DevName,Freq,RSSI,SNR,SF,BW,CR,Time,Seq,Payload,Lat,Long,Dist,alt,Prx,PL
0,ohm-02,868300000,-99,6.2,12,125,5-Apr,2018-07-03T14:24:33.709205Z,0,"Hello, GPS Coord (33.86878, 35.54354)",33.86878,35.54354,1.899254219,52,-99,119
1,ohm-02,868300000,-98,5.8,12,125,5-Apr,2018-07-03T14:24:43.719488Z,1,"Hello, GPS Coord (33.86878, 35.54354)",33.86878,35.54354,1.899254219,52,-98,118
2,ohm-02,868100000,-102,6.8,12,125,5-Apr,2018-07-03T14:24:53.729772Z,2,"Hello, GPS Coord (33.86878, 35.54354)",33.86878,35.54354,1.899254219,52,-102,122
3,ohm-02,868500000,-98,6.5,12,125,5-Apr,2018-07-03T14:25:03.740055Z,3,"Hello, GPS Coord (33.86878, 35.54354)",33.86878,35.54354,1.899254219,52,-98,118
4,ohm-02,868300000,-101,8,12,125,5-Apr,2018-07-03T14:25:13.750346Z,4,"Hello, GPS Coord (33.86878, 35.54354)",33.86878,35.54354,1.899254219,52,-101,121
5,ohm-02,868100000,-101,7.5,12,125,5-Apr,2018-07-03T14:25:23.76063Z,5,"Hello, GPS Coord (33.86878, 35.54354)",33.86878,35.54354,1.899254219,52,-101,121
6,ohm-02,868100000,-102,6,12,125,5-Apr,2018-07-03T14:25:33.770921Z,6,"Hello, GPS Coord (33.86878, 35.54354)",33.86878,35.54354,1.899254219,52,-102,122
7,ohm-02,868100000,-99,6.5,12,125,5-Apr,2018-07-03T14:25:53.791496Z,8,"Hello, GPS Coord (33.86878, 35.54354)",33.86878,35.54354,1.899254219,52,-99,119
8,ohm-02,868300000,-100,3.5,12,125,5-Apr,2018-07-03T14:26:03.801779Z,9,"Hello, GPS Coord (33.86878, 35.54354)",33.86878,35.54354,1.899254219,52,-100,120
9,ohm-02,868500000,-101,6,12,125,5-Apr,2018-07-03T14:26:13.812062Z,10,"Hello, GPS Coord (33.86878, 35.54354)",33.86878,35.54354,1.899254219,52,-101,121
10,ohm-02,868300000,-101,4.5,12,125,5-Apr,2018-07-03T14:26:23.822354Z,11,"Hello, GPS Coord (33.86878, 35.54354)",33.86878,35.54354,1.899254219,52,-101,121
11,ohm-02,868300000,-102,5.8,12,125,5-Apr,2018-07-03T14:26:33.832637Z,12,"Hello, GPS Coord (33.86878, 35.54354)",33.86878,35.54354,1.899254219,52,-102,122
12,ohm-02,868500000,-100,6.5,12,125,5-Apr,2018-07-03T14:26:43.84292Z,13,"Hello, GPS Coord (33.86878, 35.54354)",33.86878,35.54354,1.899254219,52,-100,120
13,ohm-02,868300000,-97,7.5,12,125,5-Apr,2018-07-03T14:26:53.853212Z,14,"Hello, GPS Coord (33.86878, 35.54354)",33.86878,35.54354,1.899254219,52,-97,117
14,ohm-02,868100000,-97,7.8,12,125,5-Apr,2018-07-03T14:27:03.863503Z,15,"Hello, GPS Coord (33.86878, 35.54354)",33.86878,35.54354,1.899254219,52,-97,117
15,ohm-02,868500000,-101,6,12,125,5-Apr,2018-07-03T14:27:13.873786Z,16,"Hello, GPS Coord (33.86878, 35.54354)",33.86878,35.54354,1.899254219,52,-101,121
16,ohm-02,868300000,-94,7.5,12,125,5-Apr,2018-07-03T14:27:23.884078Z,17,"Hello, GPS Coord (33.86878, 35.54354)",33.86878,35.54354,1.899254219,52,-94,114
17,ohm-02,868500000,-100,6.5,12,125,5-Apr,2018-07-03T14:27:33.894361Z,18,"Hello, GPS Coord (33.86878, 35.54354)",33.86878,35.54354,1.899254219,52,-100,120
18,ohm-02,868500000,-99,5.5,12,125,5-Apr,2018-07-03T14:27:43.904652Z,19,"Hello, GPS Coord (33.86878, 35.54354)",33.86878,35.54354,1.899254219,52,-99,119
19,ohm-02,868100000,-105,7,12,125,5-Apr,2018-07-03T14:27:53.914944Z,20,"Hello, GPS Coord (33.86878, 35.54354)",33.86878,35.54354,1.899254219,52,-105,125
20,ohm-02,868300000,-101,1.5,12,125,5-Apr,2018-07-03T14:28:03.925227Z,21,"Hello, GPS Coord (33.86878, 35.54354)",33.86878,35.54354,1.899254219,52,-101,121
21,ohm-02,868300000,-102,3.8,12,125,5-Apr,2018-07-03T14:28:23.945802Z,23,"Hello, GPS Coord (33.86878, 35.54354)",33.86878,35.54354,1.899254219,52,-102,122
22,ohm-02,868500000,-101,7,12,125,5-Apr,2018-07-03T14:28:33.956093Z,24,"Hello, GPS Coord (33.86878, 35.54354)",33.86878,35.54354,1.899254219,52,-101,121
23,ohm-02,868100000,-120,-5,12,125,5-Apr,2018-07-12T14:54:56.784384Z,550,"Hello, GPS Coord (33.88677, 35.51931)",33.88677,35.51931,4.728605373,107,-125,145
24,ohm-02,868300000,-120,-8,12,125,5-Apr,2018-07-12T14:55:07.668692Z,551,"Hello, GPS Coord (33.88677, 35.51931)",33.88677,35.51931,4.728605373,107,-128,148
25,ohm-02,868500000,-111,-8.8,12,125,5-Apr,2018-07-12T14:55:18.659Z,552,"Hello, GPS Coord (33.88677, 35.51931)",33.88677,35.51931,4.728605373,107,-119.8,139.8
26,ohm-02,868300000,-118,-6.8,12,125,5-Apr,2018-07-12T14:55:29.649316Z,553,"Hello, GPS Coord (33.88677, 35.51931)",33.88677,35.51931,4.728605373,107,-124.8,144.8
27,ohm-02,868100000,-120,-6,12,125,5-Apr,2018-07-12T14:55:40.639632Z,554,"Hello, GPS Coord (33.88677, 35.51931)",33.88677,35.51931,4.728605373,107,-126,146
28,ohm-02,868300000,-115,-4,12,125,5-Apr,2018-07-12T14:55:51.735948Z,555,"Hello, GPS Coord (33.88677, 35.51931)",33.88677,35.51931,4.728605373,107,-119,139
29,ohm-02,868500000,-107,-11,12,125,5-Apr,2018-07-12T14:56:02.730255Z,556,"Hello, GPS Coord (33.88678, 35.51918)",33.88678,35.51918,4.739575401,107,-118,138
30,ohm-02,868300000,-117,-4.2,12,125,5-Apr,2018-07-12T14:56:13.724571Z,557,"Hello, GPS Coord (33.88678, 35.51918)",33.88678,35.51918,4.739575401,107,-121.2,141.2
31,ohm-02,868300000,-117,-6.8,12,125,5-Apr,2018-07-12T14:56:24.718879Z,558,"Hello, GPS Coord (33.88678, 35.51918)",33.88678,35.51918,4.739575401,107,-123.8,143.8
32,ohm-02,868300000,-117,-6,12,125,5-Apr,2018-07-12T14:56:35.713195Z,559,"Hello, GPS Coord (33.88678, 35.51918)",33.88678,35.51918,4.739575401,107,-123,143
33,ohm-02,868100000,-120,-8.2,12,125,5-Apr,2018-07-12T14:56:46.707511Z,560,"Hello, GPS Coord (33.88678, 35.51918)",33.88678,35.51918,4.739575401,107,-128.2,148.2
34,ohm-02,868500000,-111,-13.5,12,125,5-Apr,2018-07-12T14:56:57.701819Z,561,"Hello, GPS Coord (33.88678, 35.51918)",33.88678,35.51918,4.739575401,107,-124.5,144.5
35,ohm-02,868500000,-111,-11,12,125,5-Apr,2018-07-12T14:57:08.696135Z,562,"Hello, GPS Coord (33.88678, 35.51918)",33.88678,35.51918,4.739575401,107,-122,142
36,ohm-02,868300000,-117,-7,12,125,5-Apr,2018-07-12T14:57:19.69045Z,563,"Hello, GPS Coord (33.88678, 35.51918)",33.88678,35.51918,4.739575401,107,-124,144
37,ohm-02,868100000,-119,-5.2,12,125,5-Apr,2018-07-12T14:57:30.790766Z,564,"Hello, GPS Coord (33.88678, 35.51918)",33.88678,35.51918,4.739575401,107,-124.2,144.2
38,ohm-02,868500000,-114,-14,12,125,5-Apr,2018-07-12T14:57:41.785074Z,565,"Hello, GPS Coord (33.88678, 35.51918)",33.88678,35.51918,4.739575401,107,-128,148
39,ohm-02,868500000,-112,-9.8,12,125,5-Apr,2018-07-12T14:57:52.77939Z,566,"Hello, GPS Coord (33.88678, 35.51918)",33.88678,35.51918,4.739575401,107,-121.8,141.8
40,ohm-02,868300000,-115,-5,12,125,5-Apr,2018-07-12T14:58:03.773706Z,567,"Hello, GPS Coord (33.88678, 35.51918)",33.88678,35.51918,4.739575401,107,-120,140
41,ohm-02,868300000,-119,-4.8,12,125,5-Apr,2018-07-12T14:58:14.768022Z,568,"Hello, GPS Coord (33.88678, 35.51918)",33.88678,35.51918,4.739575401,107,-123.8,143.8
42,ohm-02,868300000,-119,-10.5,12,125,5-Apr,2018-07-12T14:58:25.76233Z,569,"Hello, GPS Coord (33.88678, 35.51918)",33.88678,35.51918,4.739575401,107,-129.5,149.5
43,ohm-02,868500000,-113,-12.8,12,125,5-Apr,2018-07-12T14:58:36.756637Z,570,"Hello, GPS Coord (33.88678, 35.51918)",33.88678,35.51918,4.739575401,107,-125.8,145.8
44,ohm-02,868300000,-117,-5.8,12,125,5-Apr,2018-07-12T14:58:47.750953Z,571,"Hello, GPS Coord (33.88685, 35.51926)",33.88685,35.51926,4.737032659,107,-122.8,142.8
45,ohm-02,868500000,-115,-5,12,125,5-Apr,2018-07-12T14:58:58.745261Z,572,"Hello, GPS Coord (33.88685, 35.51926)",33.88685,35.51926,4.737032659,107,-120,140
46,ohm-02,868300000,-115,-4.8,12,125,5-Apr,2018-07-12T14:59:09.739577Z,573,"Hello, GPS Coord (33.88685, 35.51926)",33.88685,35.51926,4.737032659,107,-119.8,139.8
47,ohm-02,868300000,-118,-5.8,12,125,5-Apr,2018-07-12T14:59:20.729893Z,574,"Hello, GPS Coord (33.88685, 35.51926)",33.88685,35.51926,4.737032659,107,-123.8,143.8
48,ohm-02,868100000,-115,-10.2,12,125,5-Apr,2018-07-25T09:32:02.92545Z,21,"Hello, GPS Coord (33.83949, 35.51701)",33.83949,35.51701,5.205034056,47,-125.2,145.2
49,ohm-02,868100000,-115,-11.8,12,125,5-Apr,2018-07-25T09:32:14.143783Z,22,"Hello, GPS Coord (33.83949, 35.51701)",33.83949,35.51701,5.205034056,47,-126.8,146.8
50,ohm-02,868100000,-115,-13.8,12,125,5-Apr,2018-07-25T09:32:25.362106Z,23,"Hello, GPS Coord (33.83949, 35.51701)",33.83949,35.51701,5.205034056,47,-128.8,148.8
51,ohm-02,868500000,-119,-13,12,125,5-Apr,2018-07-25T09:32:36.584446Z,24,"Hello, GPS Coord (33.83949, 35.51701)",33.83949,35.51701,5.205034056,47,-132,152
52,ohm-02,868100000,-117,-8.2,12,125,5-Apr,2018-07-25T09:32:47.802771Z,25,"Hello, GPS Coord (33.83949, 35.51701)",33.83949,35.51701,5.205034056,47,-125.2,145.2
53,ohm-02,868100000,-119,-7.2,12,125,5-Apr,2018-07-25T09:32:58.805103Z,26,"Hello, GPS Coord (33.83949, 35.51701)",33.83949,35.51701,5.205034056,47,-126.2,146.2
54,ohm-02,868300000,-119,-7.8,12,125,5-Apr,2018-07-25T09:33:09.587419Z,27,"Hello, GPS Coord (33.83949, 35.51701)",33.83949,35.51701,5.205034056,47,-126.8,146.8
55,ohm-02,868300000,-117,-8.2,12,125,5-Apr,2018-07-25T09:33:20.369735Z,28,"Hello, GPS Coord (33.83949, 35.51701)",33.83949,35.51701,5.205034056,47,-125.2,145.2
56,ohm-02,868500000,-118,-12.8,12,125,5-Apr,2018-07-25T09:33:31.152052Z,29,"Hello, GPS Coord (33.83949, 35.51701)",33.83949,35.51701,5.205034056,47,-130.8,150.8
57,ohm-02,868300000,-119,-7.2,12,125,5-Apr,2018-07-25T09:33:41.932375Z,30,"Hello, GPS Coord (33.83949, 35.51701)",33.83949,35.51701,5.205034056,47,-126.2,146.2
58,ohm-02,868100000,-117,-6,12,125,5-Apr,2018-07-25T09:34:03.493015Z,32,"Hello, GPS Coord (33.83946, 35.51697)",33.83946,35.51697,5.209961929,47,-123,143
59,ohm-02,868300000,-118,-7.2,12,125,5-Apr,2018-07-25T09:34:14.383331Z,33,"Hello, GPS Coord (33.83946, 35.51697)",33.83946,35.51697,5.209961929,47,-125.2,145.2
60,ohm-02,868100000,-121,-8,12,125,5-Apr,2018-07-25T09:34:25.055647Z,34,"Hello, GPS Coord (33.83946, 35.51697)",33.83946,35.51697,5.209961929,47,-129,149
61,ohm-02,868500000,-119,-13.5,12,125,5-Apr,2018-07-25T09:34:35.731963Z,35,"Hello, GPS Coord (33.83946, 35.51697)",33.83946,35.51697,5.209961929,47,-132.5,152.5
62,ohm-02,868500000,-119,-12.8,12,125,5-Apr,2018-07-25T09:34:46.726287Z,36,"Hello, GPS Coord (33.83946, 35.51697)",33.83946,35.51697,5.209961929,47,-131.8,151.8
63,ohm-02,868500000,-118,-12.2,12,125,5-Apr,2018-07-25T09:34:57.714611Z,37,"Hello, GPS Coord (33.83946, 35.51697)",33.83946,35.51697,5.209961929,47,-130.2,150.2
64,ohm-02,868500000,-111,-11.5,12,125,5-Apr,2018-07-25T09:35:08.702936Z,38,"Hello, GPS Coord (33.83946, 35.51697)",33.83946,35.51697,5.209961929,47,-122.5,142.5
65,ohm-02,868300000,-119,-7,12,125,5-Apr,2018-07-25T09:35:19.691268Z,39,"Hello, GPS Coord (33.83946, 35.51697)",33.83946,35.51697,5.209961929,47,-126,146
66,ohm-02,868300000,-104,-8.8,12,125,5-Apr,2018-07-25T10:07:58.933627Z,0,"Hello, GPS Coord (33.84863, 35.52134)",33.84863,35.52134,4.349794784,44,-112.8,132.8
67,ohm-02,868100000,-102,-14.2,12,125,5-Apr,2018-07-25T10:08:09.933951Z,1,"Hello, GPS Coord (33.84863, 35.52134)",33.84863,35.52134,4.349794784,44,-116.2,136.2
68,ohm-02,868300000,-104,-14.2,12,125,5-Apr,2018-07-25T10:08:21.260291Z,2,"Hello, GPS Coord (33.84863, 35.52134)",33.84863,35.52134,4.349794784,44,-118.2,138.2
69,ohm-02,868100000,-106,-10.5,12,125,5-Apr,2018-07-25T10:08:32.806631Z,3,"Hello, GPS Coord (33.84863, 35.52134)",33.84863,35.52134,4.349794784,44,-116.5,136.5
70,ohm-02,868300000,-106,-8,12,125,5-Apr,2018-07-25T10:08:44.460972Z,4,"Hello, GPS Coord (33.84863, 35.52134)",33.84863,35.52134,4.349794784,44,-114,134
71,ohm-02,868100000,-94,-16,12,125,5-Apr,2018-07-25T10:08:55.027281Z,5,"Hello, GPS Coord (33.84866, 35.52123)",33.84866,35.52123,4.357496765,44,-110,130
72,ohm-02,868300000,-105,-11.5,12,125,5-Apr,2018-07-25T10:09:16.15991Z,7,"Hello, GPS Coord (33.8486, 35.52131)",33.8486,35.52131,4.353740891,44,-116.5,136.5
73,ohm-02,868300000,-105,-9.8,12,125,5-Apr,2018-07-25T10:09:26.726212Z,8,"Hello, GPS Coord (33.84859, 35.52132)",33.84859,35.52132,4.353393885,44,-114.8,134.8
74,ohm-02,868100000,-106,-9.8,12,125,5-Apr,2018-07-25T10:09:37.288528Z,9,"Hello, GPS Coord (33.84859, 35.52132)",33.84859,35.52132,4.353393885,44,-115.8,135.8
75,ohm-02,868300000,-104,-13.8,12,125,5-Apr,2018-07-25T10:09:47.746835Z,10,"Hello, GPS Coord (33.84859, 35.52132)",33.84859,35.52132,4.353393885,44,-117.8,137.8
