index,rssi,snr,sf
0,-63,8.25,7
1,-66,9.50,7
2,-65,9.50,7
3,-64,9.25,7
4,-64,9.75,7
5,-66,9.50,7
6,-64,9.25,7
7,-64,9.50,7
8,-65,9.75,7
9,-78,9.50,7
10,-72,8.75,7
11,-67,12.50,7
12,-69,9.75,7
13,-68,9.50,7
14,-66,9.50,7
15,-67,9.50,7
16,-68,9.75,7
17,-69,9.50,7
18,-68,9.50,7
19,-68,9.50,7
20,-68,9.75,7
21,-67,9.50,7
22,-67,9.75,7
23,-68,10.00,7
24,-68,9.25,7
25,-68,9.50,7
26,-68,9.50,7
27,-68,9.25,7
28,-67,9.50,7
29,-68,9.50,7
30,-67,9.50,7
31,-69,9.50,7
32,-69,9.50,7
33,-66,9.50,7
34,-66,9.50,7
35,-67,9.25,7
36,-68,9.50,7
37,-70,9.25,7
38,-69,9.75,7
39,-64,8.50,7
40,-67,9.50,7
41,-68,9.50,7
42,-68,9.50,7
43,-68,9.50,7
44,-65,9.25,7
45,-67,9.25,7
46,-67,9.50,7
47,-67,9.50,7
48,-67,9.25,7
49,-67,9.50,7
50,-66,12.25,8
51,-66,11.75,8
52,-67,11.75,8
53,-68,12.25,8
54,-66,12.25,8
55,-67,12.00,8
56,-68,12.00,8
58,-66,11.00,8
59,-66,11.00,8
60,-66,11.00,8
61,-68,12.00,8
62,-68,12.00,8
63,-67,12.00,8
64,-68,12.00,8
65,-69,12.00,8
66,-68,12.00,8
67,-68,11.75,8
68,-67,12.00,8
69,-66,11.00,8
70,-67,11.75,8
71,-68,11.75,8
72,-68,11.75,8
73,-67,11.75,8
74,-67,12.25,8
75,-67,12.00,8
76,-63,10.25,8
77,-67,11.75,8
78,-68,12.00,8
79,-69,12.00,8
80,-69,12.00,8
81,-68,11.75,8
82,-68,12.00,8
83,-69,12.25,8
84,-68,12.00,8
85,-64,11.25,8
86,-69,12.00,8
87,-68,12.00,8
88,-67,11.75,8
89,-66,12.00,8
90,-67,12.00,8
91,-66,10.75,8
92,-68,11.75,8
93,-66,12.00,8
94,-63,11.25,8
95,-68,12.00,8
96,-68,11.75,8
97,-66,12.25,8
98,-71,10.25,8
99,-69,11.75,8
100,-70,10.50,9
101,-66,13.75,9
102,-66,13.75,9
103,-67,13.50,9
104,-67,13.50,9
105,-66,13.75,9
106,-66,13.75,9
107,-66,13.75,9
108,-65,11.25,9
109,-67,13.50,9
110,-61,11.25,9
111,-67,13.75,9
112,-66,14.00,9
113,-69,13.00,9
114,-70,10.25,9
115,-66,13.50,9
116,-66,13.75,9
117,-69,12.00,9
118,-68,13.75,9
119,-67,13.50,9
120,-67,13.50,9
121,-68,13.75,9
122,-68,13.25,9
123,-68,13.25,9
124,-67,13.50,9
125,-66,13.25,9
126,-68,13.50,9
127,-67,14.00,9
128,-68,13.25,9
129,-67,13.50,9
130,-67,13.50,9
131,-68,13.25,9
132,-68,13.75,9
133,-67,13.75,9
134,-67,13.75,9
135,-66,13.50,9
136,-66,13.50,9
137,-63,12.25,9
138,-66,13.75,9
139,-67,13.25,9
140,-66,13.75,9
141,-65,12.75,9
142,-67,13.25,9
143,-69,10.50,9
144,-66,13.50,9
145,-68,13.50,9
146,-68,13.75,9
147,-68,13.75,9
148,-69,10.00,9
149,-70,10.75,9
150,-71,10.25,10
151,-69,12.25,10
152,-68,13.50,10
153,-68,12.00,10
154,-68,13.50,10
155,-68,13.25,10
156,-67,13.75,10
157,-68,13.50,10
158,-64,13.25,10
159,-68,12.50,10
160,-69,11.75,10
161,-68,13.25,10
162,-68,13.75,10
163,-68,12.50,10
164,-68,13.00,10
165,-70,10.75,10
166,-67,14.00,10
167,-68,13.50,10
168,-68,13.50,10
169,-68,13.50,10
170,-67,13.50,10
171,-67,13.75,10
172,-68,13.50,10
173,-67,13.75,10
174,-67,14.00,10
175,-67,14.00,10
176,-68,13.75,10
177,-67,14.00,10
178,-67,13.75,10
179,-67,13.75,10
180,-67,13.75,10
181,-67,13.75,10
182,-68,13.50,10
183,-68,13.50,10
184,-68,13.75,10
185,-67,14.00,10
186,-68,13.50,10
187,-68,13.50,10
188,-67,13.75,10
189,-68,13.50,10
190,-68,13.75,10
191,-68,13.75,10
192,-67,14.00,10
193,-66,13.50,10
194,-68,13.50,10
195,-67,14.00,10
196,-68,13.75,10
197,-68,13.25,10
198,-68,13.75,10
199,-69,12.25,10
200,-69,10.50,11
201,-87,9.50,11
202,-70,10.50,11
203,-69,11.25,11
204,-71,10.00,11
205,-69,11.00,11
206,-67,9.50,11
207,-69,11.00,11
208,-69,12.25,11
209,-68,10.25,11
210,-68,12.75,11
211,-70,10.50,11
212,-69,12.25,11
213,-68,10.75,11
214,-69,11.75,11
215,-69,12.00,11
216,-69,11.25,11
217,-69,11.75,11
218,-69,11.00,11
219,-69,11.75,11
220,-69,11.25,11
221,-69,11.50,11
222,-69,11.50,11
223,-69,11.75,11
224,-69,11.25,11
225,-69,11.50,11
226,-69,11.75,11
227,-69,11.25,11
228,-69,12.00,11
229,-69,12.50,11
230,-69,12.50,11
