index,rssi,snr,sf
0,-81,9.50,7
1,-81,9.25,7
2,-83,9.50,7
3,-81,9.25,7
4,-82,10.25,7
5,-82,9.50,7
6,-83,9.25,7
7,-81,9.50,7
8,-81,9.50,7
9,-81,9.50,7
10,-84,9.50,7
11,-86,10.25,7
12,-85,9.25,7
13,-87,9.00,7
14,-84,9.75,7
15,-85,9.50,7
16,-86,8.75,7
17,-90,8.75,7
18,-90,9.25,7
19,-86,9.25,7
20,-83,9.25,7
21,-83,9.50,7
22,-86,9.25,7
23,-82,9.50,7
24,-83,9.50,7
25,-83,9.00,7
26,-80,9.25,7
27,-83,9.50,7
28,-84,9.50,7
29,-83,9.25,7
30,-87,9.00,7
31,-88,9.00,7
32,-86,9.00,7
33,-83,9.50,7
34,-88,9.25,7
35,-86,9.25,7
36,-89,9.50,7
37,-81,9.25,7
38,-91,9.00,7
39,-90,9.50,7
40,-93,9.00,7
41,-84,9.50,7
42,-85,9.75,7
43,-83,9.25,7
44,-84,9.50,7
45,-86,9.00,7
46,-84,9.75,7
47,-84,9.50,7
48,-84,9.75,7
49,-86,9.25,7
50,-88,11.50,8
51,-84,11.50,8
52,-84,11.75,8
53,-85,11.75,8
54,-85,12.00,8
55,-84,11.50,8
56,-90,11.25,8
57,-89,11.50,8
58,-87,11.25,8
59,-88,11.75,8
60,-85,11.75,8
61,-85,11.25,8
62,-86,10.50,8
63,-85,12.00,8
64,-86,10.00,8
65,-87,11.50,8
66,-87,11.00,8
67,-88,11.50,8
68,-89,11.25,8
69,-94,9.75,8
70,-86,11.50,8
71,-82,10.75,8
72,-87,10.75,8
73,-86,11.00,8
74,-85,12.00,8
75,-87,11.00,8
76,-87,11.00,8
77,-87,10.75,8
78,-87,10.75,8
79,-86,10.50,8
80,-86,11.75,8
81,-86,11.50,8
82,-87,11.50,8
83,-90,11.25,8
84,-90,11.50,8
85,-89,11.50,8
86,-89,11.75,8
87,-89,11.50,8
88,-88,11.50,8
89,-88,11.75,8
90,-88,11.75,8
91,-87,11.75,8
92,-88,11.75,8
93,-87,11.25,8
94,-87,11.50,8
95,-87,11.50,8
96,-86,11.25,8
97,-87,11.00,8
98,-86,10.00,8
99,-86,10.25,8
100,-87,13.25,9
101,-86,10.00,9
102,-85,9.75,9
103,-86,11.25,9
104,-86,12.00,9
105,-87,13.00,9
106,-88,13.00,9
107,-88,12.75,9
108,-88,12.75,9
109,-91,9.25,9
110,-91,9.25,9
111,-91,9.50,9
112,-88,12.75,9
113,-86,9.75,9
114,-86,12.25,9
115,-86,12.25,9
116,-86,11.75,9
117,-86,10.75,9
118,-85,10.25,9
119,-85,10.00,9
120,-87,12.75,9
121,-89,12.00,9
122,-90,12.00,9
123,-91,9.50,9
124,-89,12.25,9
125,-91,10.00,9
126,-92,10.50,9
127,-87,13.00,9
128,-88,12.50,9
129,-88,12.75,9
130,-90,11.75,9
131,-88,12.75,9
132,-86,11.50,9
133,-88,12.50,9
134,-88,12.75,9
135,-86,10.25,9
136,-87,13.00,9
137,-88,12.50,9
138,-89,13.00,9
139,-90,11.50,9
140,-94,10.75,9
141,-87,12.50,9
142,-92,10.00,9
143,-90,10.25,9
144,-90,10.50,9
145,-89,12.25,9
146,-92,11.50,9
147,-90,11.00,9
148,-89,11.25,9
149,-85,10.00,9
150,-87,10.25,10
151,-87,9.75,10
152,-87,11.00,10
153,-88,13.00,10
154,-85,10.75,10
155,-86,10.25,10
156,-87,11.25,10
157,-88,11.25,10
158,-99,4.75,10
159,-91,10.00,10
160,-87,10.75,10
161,-86,10.00,10
162,-86,10.50,10
163,-86,10.00,10
164,-89,10.25,10
165,-86,10.25,10
166,-86,11.00,10
167,-86,10.75,10
168,-89,10.75,10
169,-87,11.75,10
170,-88,13.00,10
171,-88,13.25,10
172,-89,12.75,10
173,-85,10.75,10
174,-87,11.00,10
175,-87,12.25,10
176,-88,12.50,10
177,-86,10.25,10
178,-86,10.50,10
179,-88,11.75,10
180,-88,12.50,10
181,-89,12.50,10
182,-89,11.50,10
183,-88,13.25,10
184,-88,12.50,10
185,-90,10.25,10
186,-90,10.75,10
187,-89,11.75,10
188,-90,10.50,10
189,-89,11.25,10
190,-90,11.50,10
191,-91,9.50,10
192,-88,12.75,10
193,-91,10.25,10
194,-90,10.50,10
195,-87,11.50,10
196,-97,7.75,10
197,-87,12.50,10
198,-86,10.25,10
199,-86,11.50,10
200,-90,10.50,11
201,-90,10.25,11
202,-90,10.50,11
203,-87,9.25,11
204,-86,10.25,11
205,-91,9.50,11
206,-90,10.75,11
207,-90,10.75,11
208,-89,10.50,11
209,-90,10.75,11
210,-89,11.25,11
211,-89,10.25,11
212,-90,10.75,11
213,-91,10.00,11
214,-89,10.00,11
215,-90,11.50,11
216,-90,11.50,11
217,-90,10.50,11
218,-90,10.50,11
219,-90,10.75,11
220,-89,11.75,11
221,-92,9.75,11
222,-91,9.25,11
223,-90,10.50,11
224,-90,10.50,11
225,-90,11.75,11
