index,rssi,snr,sf
319,-76,9.50,7
320,-75,9.50,7
321,-75,11.75,7
322,-74,9.25,7
323,-77,12.25,7
324,-76,9.50,7
325,-74,12.25,7
326,-74,9.50,7
327,-74,10.25,7
328,-74,9.25,7
329,-75,9.00,7
330,-75,9.25,7
331,-75,9.25,7
332,-75,9.75,7
333,-76,9.75,7
334,-75,11.50,7
335,-75,9.25,7
336,-75,9.25,7
337,-74,9.75,7
338,-73,9.50,7
339,-75,9.50,7
340,-74,9.75,7
341,-75,9.50,7
342,-75,10.00,7
343,-75,9.25,7
344,-74,9.50,7
345,-74,10.00,7
346,-76,9.50,7
347,-73,9.50,7
348,-77,9.50,7
349,-73,9.75,7
350,-75,12.00,8
351,-74,12.00,8
352,-74,12.00,8
353,-75,10.75,8
354,-74,12.25,8
355,-75,11.75,8
356,-76,12.00,8
357,-76,12.50,8
358,-75,10.25,8
359,-76,12.50,8
360,-76,11.75,8
361,-76,12.00,8
362,-75,11.75,8
363,-75,12.00,8
364,-75,11.00,8
365,-74,12.25,8
366,-76,12.25,8
367,-74,12.00,8
368,-74,11.75,8
369,-74,12.00,8
370,-75,11.00,8
371,-77,12.25,8
372,-75,12.00,8
373,-75,11.75,8
374,-75,10.00,8
375,-75,11.25,8
376,-76,12.25,8
377,-76,12.25,8
378,-75,11.50,8
379,-76,10.50,8
380,-75,11.50,8
381,-75,10.75,8
382,-75,9.75,8
383,-75,12.00,8
384,-73,12.25,8
385,-73,12.25,8
386,-73,12.25,8
387,-75,12.00,8
388,-73,12.25,8
389,-73,12.50,8
390,-73,12.00,8
391,-72,12.25,8
392,-75,10.50,8
393,-76,11.50,8
394,-76,12.25,8
395,-76,12.25,8
396,-76,12.25,8
397,-76,12.00,8
398,-77,12.25,8
399,-77,12.00,8
400,-77,13.50,9
401,-77,13.50,9
402,-78,13.50,9
403,-76,11.25,9
404,-74,13.50,9
405,-77,13.50,9
406,-75,9.75,9
407,-75,10.25,9
408,-75,10.75,9
409,-76,10.50,9
410,-75,9.50,9
411,-76,10.00,9
412,-76,10.00,9
413,-76,13.25,9
414,-76,11.75,9
415,-76,10.25,9
416,-76,13.50,9
417,-74,13.00,9
418,-76,12.00,9
419,-74,12.50,9
420,-76,12.00,9
421,-77,13.50,9
422,-75,10.00,9
423,-76,11.75,9
424,-76,9.75,9
425,-76,12.25,9
426,-75,10.00,9
427,-76,11.25,9
428,-75,10.00,9
429,-78,13.50,9
430,-78,13.25,9
431,-75,10.00,9
432,-76,12.25,9
433,-76,11.75,9
434,-75,9.75,9
435,-75,10.00,9
436,-75,10.25,9
437,-75,10.00,9
438,-75,10.00,9
439,-75,10.00,9
440,-74,13.50,9
