index,rssi,snr,sf
0,-105,-12.00,12
1,-106,-13.00,12
2,-106,-15.25,12
3,-106,-10.00,12
4,-106,-13.75,12
5,-105,-11.75,12
6,-107,-11.50,12
7,-106,-8.75,12
8,-104,-18.25,12
9,-104,-15.00,12
10,-105,-15.75,12
11,-105,-20.75,12
12,-105,-19.25,12
13,-105,-18.75,12
14,-105,-23.00,16
18,-105,-10.75,12
19,-105,-13.00,12
20,-106,-11.75,12
21,-105,-11.50,12
22,-105,-12.00,12
23,-105,-10.75,12
24,-106,-11.00,12
25,-105,-9.75,12
26,-105,-10.75,12
27,-105,-10.75,12
28,-105,-11.25,12
29,-106,-9.75,12
30,-105,-10.50,12
31,-106,-10.25,12
32,-105,-11.00,12
33,-105,-10.75,12
34,-106,-10.75,12
35,-106,-10.25,12
36,-105,-11.25,12
37,-106,-13.50,12
38,-105,-12.00,12
39,-105,-11.00,12
40,-105,-11.50,12
41,-105,-11.25,12
42,-105,-12.25,12
43,-104,-12.25,12
44,-105,-11.25,12
45,-104,-12.00,12
46,-104,-12.50,12
47,-104,-13.50,12
48,-104,-13.75,12
49,-104,-12.75,12
50,-104,-10.75,12
51,-105,-12.50,12
52,-105,-13.00,12
53,-105,-12.25,12
54,-105,-11.00,12
55,-105,-10.75,12
56,-105,-11.75,12
57,-105,-12.00,12
58,-105,-12.00,12
59,-105,-11.50,12
60,-106,-9.50,12
61,-107,-9.75,12
62,-107,-10.75,12
63,-107,-10.75,12
64,-106,-10.25,12
65,-107,-8.50,12
66,-107,-9.00,12
67,-108,-11.25,12
68,-107,-10.25,12
69,-107,-9.25,12
70,-106,-9.75,12
71,-107,-10.75,12
72,-106,-10.50,12
73,-106,-10.25,12
74,-106,-9.25,12
75,-106,-10.00,12
76,-107,-10.75,12
77,-106,-11.25,12
78,-106,-10.00,12
79,-106,-10.25,12
80,-105,-12.50,12
110,-105,-10.00,11
111,-105,-10.25,11
112,-105,-10.00,11
113,-105,-11.50,11
114,-105,-11.50,11
115,-105,-10.50,11
116,-105,-7.75,11
117,-104,-9.75,11
118,-105,-9.25,11
119,-105,-9.25,11
120,-104,-9.50,11
121,-105,-8.00,11
122,-105,-9.50,11
123,-104,-7.50,11
124,-105,-7.50,11
125,-105,-8.00,11
126,-105,-11.75,11
127,-105,-12.25,11
128,-105,-11.00,11
129,-105,-11.25,11
130,-105,-11.00,11
131,-105,-14.25,11
132,-104,-15.50,11
133,-105,-12.75,11
134,-105,-11.25,11
135,-105,-11.50,11
136,-105,-11.75,11
137,-105,-13.00,11
138,-105,-14.25,11
139,-105,-13.75,11
140,-105,-13.00,11
141,-105,-12.50,11
142,-105,-12.75,11
143,-104,-13.00,11
144,-105,-13.75,11
145,-105,-13.50,11
146,-104,-14.50,11
147,-104,-14.00,11
148,-105,-13.00,11
149,-105,-13.00,11
150,-105,-13.75,11
151,-105,-14.00,11
152,-105,-14.00,11
153,-105,-13.50,11
154,-105,-14.50,11
155,-105,-13.75,11
156,-105,-13.00,11
157,-105,-12.25,11
158,-105,-14.00,11
159,-105,-13.75,11
160,-105,-14.25,11
161,-106,-14.75,11
162,-105,-14.50,11
163,-105,-13.25,11
164,-105,-12.75,11
165,-105,-12.75,11
166,-105,-13.50,11
167,-105,-14.25,11
168,-105,-14.25,11
169,-105,-13.75,11
170,-105,-14.25,11
171,-105,-13.50,11
172,-104,-14.25,11
173,-104,-14.50,11
174,-105,-13.25,11
175,-104,-14.25,11
176,-105,-13.75,11
177,-105,-13.75,11
178,-105,-13.75,11
179,-105,-13.50,11
180,-105,-12.25,11
181,-105,-13.00,11
182,-105,-12.50,11
183,-105,-14.00,11
184,-104,-13.50,11
185,-105,-14.25,11
186,-105,-13.75,11
187,-105,-13.00,11
188,-105,-12.25,11
189,-105,-13.25,11
220,-105,-12.75,10
221,-106,-12.00,10
222,-106,-11.25,10
223,-107,-10.75,10
224,-106,-11.00,10
225,-106,-10.75,10
226,-106,-11.75,10
227,-106,-11.50,10
228,-106,-11.75,10
229,-106,-11.00,10
230,-106,-10.50,10
231,-106,-11.00,10
232,-106,-11.50,10
233,-107,-11.50,10
234,-105,-12.75,10
235,-106,-12.25,10
236,-105,-12.25,10
237,-106,-11.50,10
238,-106,-11.75,10
239,-106,-12.25,10
240,-106,-11.75,10
241,-106,-11.25,10
242,-106,-11.25,10
243,-107,-12.25,10
244,-105,-12.75,10
245,-106,-11.50,10
246,-105,-12.50,10
247,-105,-13.75,10
248,-106,-12.50,10
249,-106,-12.25,10
250,-106,-11.00,10
251,-106,-13.25,10
252,-106,-13.75,10
253,-106,-13.25,10
254,-105,-13.75,10
255,-105,-13.25,10
256,-105,-12.75,10
257,-106,-12.00,10
258,-106,-11.50,10
259,-106,-11.75,10
260,-106,-12.25,10
261,-106,-11.75,10
262,-105,-13.25,10
263,-106,-11.75,10
264,-105,-13.00,10
265,-104,-13.00,10
266,-106,-10.25,10
267,-106,-10.25,10
268,-106,-11.75,10
269,-105,-12.00,10
270,-106,-12.50,10
272,-106,-13.50,10
273,-106,-14.75,10
274,-105,-11.75,10
275,-106,-11.00,10
276,-106,-11.00,10
277,-106,-9.75,10
278,-106,-13.00,10
