index,rssi,snr,sf
0,-109,-13.25,12
1,-107,-12.50,12
2,-107,-8.50,12
3,-107,-9.50,12
4,-108,-7.50,12
5,-107,-9.75,12
6,-107,-9.25,12
7,-107,-8.75,12
8,-109,-9.50,12
9,-107,-10.75,12
10,-107,-11.75,12
11,-107,-11.50,12
12,-107,-11.75,12
13,-107,-12.25,12
14,-107,-11.75,12
15,-107,-12.00,12
16,-107,-13.25,12
17,-107,-12.50,12
18,-107,-12.75,12
19,-108,-12.75,12
20,-107,-12.00,12
21,-108,-11.75,12
22,-108,-11.25,12
23,-107,-12.00,12
24,-108,-11.75,12
25,-108,-12.00,12
26,-108,-11.50,12
27,-108,-12.00,12
28,-108,-11.00,12
29,-108,-12.50,12
30,-108,-12.50,12
31,-107,-12.75,12
32,-107,-9.50,12
33,-107,-9.25,12
34,-107,-9.00,12
35,-108,-8.50,12
36,-107,-8.75,12
37,-107,-11.00,12
38,-107,-8.75,12
39,-107,-9.25,12
40,-108,-6.75,12
41,-109,-7.00,12
42,-108,-8.00,12
43,-108,-7.75,12
44,-109,-7.50,12
45,-108,-7.00,12
46,-109,-7.75,12
47,-108,-6.25,12
48,-108,-8.00,12
49,-108,-8.00,12
50,-107,-8.00,12
51,-107,-9.50,12
52,-107,-8.75,12
53,-107,-9.50,12
54,-107,-8.50,12
55,-107,-9.25,12
56,-107,-9.00,12
57,-107,-8.50,12
58,-107,-8.00,12
59,-107,-8.25,12
60,-107,-8.75,12
61,-107,-9.00,12
62,-107,-8.75,12
63,-107,-9.00,12
64,-107,-8.75,12
65,-106,-9.25,12
66,-107,-9.50,12
67,-107,-9.00,12
68,-107,-8.25,12
69,-107,-9.00,12
70,-107,-9.00,12
71,-107,-9.00,12
72,-107,-9.50,12
73,-107,-9.50,12
74,-107,-9.50,12
75,-107,-10.00,12
76,-107,-9.25,12
77,-106,-9.50,12
78,-107,-9.00,12
79,-107,-9.00,12
110,-107,-9.75,11
111,-107,-9.75,11
112,-107,-9.75,11
113,-107,-10.50,11
114,-107,-10.50,11
115,-107,-10.25,11
116,-107,-9.25,11
117,-107,-10.50,11
118,-107,-9.50,11
119,-107,-11.50,11
120,-107,-11.25,11
121,-107,-10.75,11
122,-107,-10.25,11
123,-106,-11.00,11
124,-107,-10.25,11
125,-107,-10.50,11
126,-107,-10.25,11
127,-107,-10.25,11
128,-107,-10.50,11
129,-107,-10.50,11
130,-107,-11.25,11
131,-107,-11.25,11
132,-107,-10.25,11
133,-107,-10.50,11
134,-107,-10.75,11
135,-107,-10.00,11
136,-107,-10.75,11
137,-107,-10.25,11
138,-106,-11.00,11
139,-107,-10.75,11
140,-107,-9.75,11
141,-107,-10.00,11
142,-107,-9.75,11
143,-107,-9.75,11
144,-107,-10.00,11
145,-107,-10.25,11
146,-106,-9.75,11
147,-107,-10.00,11
148,-107,-10.00,11
149,-107,-10.50,11
150,-107,-10.25,11
151,-107,-10.25,11
152,-107,-10.50,11
153,-107,-10.00,11
154,-107,-10.25,11
155,-106,-10.75,11
156,-107,-10.25,11
157,-106,-10.75,11
159,-107,-9.75,11
160,-107,-8.75,11
161,-107,-10.00,11
162,-108,-10.75,11
163,-107,-10.25,11
164,-107,-10.50,11
165,-107,-11.75,11
166,-107,-9.50,11
167,-107,-11.25,11
168,-107,-11.50,11
169,-107,-10.75,11
170,-107,-10.25,11
171,-107,-11.50,11
172,-107,-10.75,11
173,-107,-11.00,11
174,-107,-9.75,11
175,-107,-11.25,11
176,-107,-12.25,11
177,-107,-10.00,11
178,-107,-11.50,11
179,-107,-10.75,11
180,-107,-10.50,11
181,-107,-11.25,11
182,-107,-10.50,11
183,-107,-10.00,11
184,-107,-10.25,11
185,-107,-10.50,11
186,-107,-10.50,11
187,-107,-10.50,11
188,-107,-10.25,11
189,-107,-10.75,11
190,-107,-10.50,11
220,-107,-11.00,10
221,-108,-11.25,10
222,-107,-10.75,10
223,-107,-10.25,10
224,-107,-10.75,10
225,-107,-10.75,10
226,-108,-10.75,10
227,-107,-10.75,10
228,-107,-10.75,10
229,-107,-10.00,10
230,-107,-10.75,10
231,-107,-10.50,10
232,-107,-9.75,10
233,-107,-11.25,10
234,-107,-10.50,10
235,-107,-10.25,10
236,-107,-10.00,10
237,-107,-9.50,10
238,-107,-10.25,10
239,-107,-10.00,10
240,-108,-9.00,10
241,-107,-10.25,10
242,-106,-10.75,10
243,-107,-10.00,10
244,-107,-9.75,10
245,-107,-10.00,10
246,-107,-10.50,10
247,-107,-10.00,10
248,-107,-10.25,10
249,-107,-10.25,10
250,-107,-10.75,10
251,-107,-11.50,10
252,-107,-11.25,10
253,-107,-11.00,10
254,-107,-11.25,10
255,-107,-10.75,10
256,-107,-9.75,10
257,-107,-11.00,10
258,-107,-12.25,10
259,-107,-11.00,10
260,-108,-10.50,10
261,-107,-11.25,10
262,-107,-12.25,10
263,-108,-12.00,10
264,-107,-11.25,10
265,-107,-11.00,10
266,-107,-10.75,10
267,-107,-10.00,10
268,-107,-10.50,10
269,-107,-10.25,10
270,-107,-11.25,10
271,-107,-10.50,10
272,-107,-9.75,10
274,-107,-9.75,10
275,-107,-9.50,10
276,-107,-9.50,10
277,-107,-9.50,10
278,-107,-9.25,10
279,-107,-9.50,10
280,-107,-10.50,10
281,-107,-11.50,10
282,-107,-10.50,10
283,-107,-9.75,10
284,-107,-9.50,10
285,-107,-9.75,10
286,-106,-9.50,10
287,-107,-10.00,10
288,-107,-9.00,10
289,-107,-9.00,10
290,-107,-10.25,10
292,-107,-9.75,10
293,-107,-11.25,10
294,-106,-10.50,10
295,-107,-10.75,10
296,-107,-10.75,10
297,-107,-10.75,10
298,-106,-10.25,10
299,-107,-11.75,10
330,-106,-11.75,9
331,-106,-12.00,9
332,-106,-11.25,9
333,-107,-12.25,9
334,-106,-12.25,9
335,-106,-12.00,9
336,-107,-12.25,9
337,-106,-12.00,9
338,-107,-12.25,9
339,-107,-11.25,9
340,-106,-11.50,9
341,-107,-12.00,9
342,-107,-13.00,9
343,-107,-12.25,9
344,-106,-13.00,9
345,-107,-13.25,9
346,-107,-13.50,9
347,-107,-12.75,9
348,-107,-13.75,9
349,-107,-15.50,9
351,-107,-9.50,9
352,-107,-10.25,9
353,-107,-10.75,9
354,-107,-15.25,9
355,-106,-11.50,9
356,-106,-9.75,9
357,-107,-10.00,9
358,-107,-10.50,9
359,-106,-10.75,9
360,-106,-11.00,9
361,-107,-10.50,9
362,-107,-11.00,9
363,-107,-11.00,9
364,-107,-9.00,9
365,-107,-10.00,9
366,-107,-10.50,9
367,-106,-9.25,9
368,-106,-12.00,9
369,-107,-9.00,9
370,-106,-8.00,9
371,-107,-9.50,9
372,-107,-10.00,9
373,-107,-8.75,9
374,-107,-10.25,9
375,-107,-11.00,9
376,-107,-10.75,9
377,-107,-10.50,9
378,-106,-9.25,9
379,-106,-9.25,9
380,-106,-10.00,9
381,-107,-9.50,9
382,-106,-8.75,9
383,-106,-9.50,9
384,-106,-9.25,9
385,-107,-10.00,9
386,-107,-9.25,9
387,-106,-9.50,9
388,-106,-9.75,9
389,-107,-9.25,9
390,-106,-9.50,9
391,-106,-10.50,9
392,-106,-9.75,9
393,-107,-9.75,9
394,-106,-9.25,9
395,-106,-9.00,9
396,-106,-8.75,9
397,-106,-8.75,9
398,-107,-9.00,9
399,-106,-9.00,9
400,-108,-7.25,9
401,-108,-7.50,9
402,-107,-8.00,9
403,-108,-7.25,9
404,-108,-8.25,9
