index,rssi,snr,sf
0,-109,-10.50,12
1,-107,-12.75,12
2,-108,-11.75,12
3,-108,-15.00,12
4,-108,-9.25,12
5,-107,-11.00,12
6,-107,-11.50,12
7,-107,-11.50,12
8,-109,-8.25,12
9,-107,-10.75,12
10,-107,-11.50,12
11,-107,-10.75,12
12,-107,-10.75,12
13,-107,-12.00,12
14,-107,-11.75,12
15,-107,-11.75,12
16,-107,-11.75,12
17,-107,-13.00,12
18,-107,-10.75,12
19,-107,-11.00,12
20,-107,-10.50,12
21,-107,-12.25,12
22,-107,-10.50,12
23,-107,-13.25,12
24,-107,-10.25,12
25,-107,-12.25,12
26,-107,-11.75,12
27,-107,-11.75,12
28,-107,-10.50,12
29,-108,-12.00,12
30,-108,-13.00,12
31,-107,-11.50,12
32,-107,-10.75,12
33,-107,-10.25,12
34,-107,-10.50,12
35,-107,-9.50,12
36,-108,-13.25,12
37,-107,-13.50,12
38,-107,-9.25,12
39,-107,-12.50,12
40,-108,-11.50,12
41,-109,-7.25,12
42,-109,-11.75,12
43,-109,-10.25,12
44,-108,-10.00,12
45,-108,-11.25,12
46,-108,-11.00,12
47,-109,-11.75,12
48,-109,-12.50,12
49,-109,-16.00,12
50,-108,-14.75,12
51,-107,-15.75,12
52,-107,-13.50,12
53,-107,-13.50,12
54,-107,-14.75,12
55,-108,-16.50,12
56,-107,-14.75,12
57,-107,-15.00,12
58,-107,-15.00,12
59,-107,-17.25,12
60,-107,-15.00,12
61,-107,-13.00,12
62,-107,-12.25,12
63,-107,-12.75,12
64,-107,-14.25,12
65,-107,-14.50,12
66,-107,-12.50,12
67,-107,-13.75,12
68,-107,-13.25,12
69,-107,-12.25,12
70,-106,-13.50,12
71,-107,-10.75,12
72,-107,-13.25,12
73,-107,-16.50,12
74,-107,-15.50,12
75,-106,-18.25,12
76,-107,-13.75,12
77,-107,-17.00,12
78,-107,-14.75,12
79,-107,-13.50,12
80,-109,-12.25,12
81,-109,-11.75,12
82,-109,-11.50,12
83,-108,-11.50,12
84,-108,-13.25,12
85,-109,-12.25,12
86,-109,-11.75,12
87,-108,-10.50,12
88,-109,-14.00,12
89,-109,-11.50,12
90,-107,-13.25,12
91,-107,-12.50,12
92,-107,-14.00,12
93,-107,-11.75,12
94,-107,-11.00,12
95,-107,-10.00,12
96,-107,-10.25,12
97,-107,-11.00,12
98,-107,-10.75,12
99,-107,-11.75,12
110,-107,-10.75,11
111,-107,-9.75,11
112,-107,-9.75,11
113,-107,-10.25,11
114,-107,-11.25,11
115,-107,-11.25,11
116,-107,-10.25,11
117,-107,-11.50,11
118,-107,-11.00,11
119,-107,-15.00,11
120,-107,-11.00,11
121,-107,-11.75,11
