index,rssi,snr,sf
661,-107,-19.50,12
662,-106,-19.50,12
663,-106,-17.50,12
665,-106,-18.50,12
671,-106,-18.50,12
677,-107,-22.00,12
679,-107,-18.50,12
680,-107,-20.50,12
681,-107,-19.00,12
682,-108,-20.25,12
685,-107,-17.00,12
686,-107,-16.75,12
687,-108,-21.25,1>
688,-107,-18.00,12
689,-107,-17.00,12
690,-107,-19.25,12
691,-107,-17.50,12
692,-107,-19.00,12
693,-107,-19.25,12
694,-106,-18.25,12
695,-108,-16.75,12
696,-106,-22.00,12
699,-107,-19.75,12
700,-107,-20.25,12
701,-107,-16.25,12
702,-107,-15.50,12
703,-107,-16.50,12
704,-107,-18.75,12
705,-107,-18.00,12
706,-106,-17.75,12
707,-107,-17.25,12
708,-107,-16.50,12
709,-107,-16.25,12
710,-107,-17.25,12
711,-107,-17.25,12
712,-107,-18.00,12
713,-107,-17.00,12
714,-106,-23.25,12
716,-107,-18.75,12
717,-107,-18.00,12
718,-107,-17.50,12
719,-108,-19.50,12
720,-106,-19.00,12
721,-107,-17.25,12
722,-107,-18.75,12
723,-107,-15.50,12
724,-107,-17.50,12
725,-107,-18.00,12
726,-107,-16.75,12
727,-107,-17.50,12
728,-107,-17.25,12
729,-108,-17.50,12
730,-107,-17.50,12
731,-106,-18.75,12
732,-107,-18.00,12
733,-107,-19.00,12
734,-107,-18.25,12
735,-106,-17.75,12
736,-106,-17.50,12
737,-106,-19.50,12
741,-107,-17.50,12
742,-107,-18.00,12
744,-107,-18.00,12
746,-107,-11.25,12
747,-107,-16.75,12
749,-107,-16.00,12
750,-107,-16.00,12
751,-107,-14.75,12
754,-107,-15.50,12
755,-107,-21.00,12
759,-107,-16.00,12
760,-107,-19.50,12
